start_station_id,start_station_name,num_trips
265,Meadows East,32814
1728,Portobello - Kings Road,22768
248,Bristo Square,22034
259,St Andrew Square,21534
1024,Meadow Place,21282
250,Victoria Quay,20208
264,Pollock Halls,18122
262,Canonmills,17810
289,Castle Street,15742
183,Waverley Bridge,15432
249,Fountainbridge,15114
247,Charlotte Square,14472
358,Leith Walk,14056
1767,Bruntsfield Links,13544
1824,Duke Street,13410
1025,Dundee Terrace,12516
1722,Cramond Foreshore,12338
171,George Square,11650
260,Lauriston Place,11282
258,Stockbridge,11172
1721,Tollcross,10924
189,City Chambers,10888
1039,Lothian Road,10526
1769,Brunswick Place,9834
285,Ocean Terminal,9526
1038,South Trinity Road,9078
1818,Dynamic Earth,8978
1814,Abbeyhill,8940
296,Castle Terrace,8796
246,Royal Commonwealth Pool,8636
1096,West Crosscauseway,8626
1727,Causewayside,8330
1090,Hillside Crescent,7786
253,Kings Building 2,7782
1091,Holyrood Road,7608
1092,Dalry Road Lidl,7548
1823,Boroughmuir,7388
1744,Morningside Road,7100
1050,EICC,6966
257,Portobello,6958
1051,Warrender Park Road,6880
1729,McDonald Road,6846
1720,Dundas Street,6392
1102,Haymarket Station,6344
1052,Surgeons Hall,6282
254,Kings Building 3,6068
1098,Marchmont Crescent,6020
1800,Joppa,5776
256,St Andrews House,5756
1763,Comely Bank Road,5710
1730,East London Street,5606
1821,Drumsheugh Place,5516
1737,Inverleith Row,4980
1019,Grassmarket,4960
1745,Scotland Street,4934
1017,Crichton Street,4842
1765,Haymarket Terrace,4758
1028,Hunter Square,4730
1808,Gorgie Road,4712
225,Waverley Court,4640
2268,Picardy Place,4630
1753,Waitrose Comely Bank,4438
1798,Chambers Street,4278
1748,Colinton Road,4204
290,Bruntsfield,4184
1757,Meggetland,4072
1097,Gladstone Terrace,4018
1756,Western General Hospital,3866
261,Brunswick Place,3826
1738,Wester Coates Terrace,3744
252,Kings Buildings 1,3716
1752,IGMM - Western General,3678
1768,Thirlestane Road,3602
251,Waverley Station,3480
1055,Roseburn Street,3386
1726,Simon Square,3370
1766,Balgreen Road,3200
352,Dundee Terrace,3108
1743,Logie Green Road,2926
820,Newkirkgate,2874
1870,Hawes Pier,2852
1807,Gamekeeper's Road,2804
1731,Pleasance Courtyard,2768
1739,Edinburgh Royal Infirmary,2750
366,Dudley Gardens,2732
2259,Leith Walk North,2608
1747,Corstorphine Road,2598
349,Orchard Brae House,2594
1758,Queen Margaret University,2590
355,Inverleith Row,2566
1042,Kings Buildings - Murchison House,2422
1749,Dean Street,2414
340,Meadow Place,2352
1093,Belford Road,2130
1813,Milton Road - Edinburgh College,2072
356,East London Street,2016
346,Morningside Road,1942
1869,Hopetoun Road,1904
1095,Dudley Gardens,1890
1725,Edinburgh Zoo,1882
345,Colinton Road,1818
1819,Heriot Watt - Edinburgh Business School,1778
357,Macdonald Road,1716
275,Riego Street,1700
1764,Craigleith Road,1688
1754,Murrayfield Tram,1684
881,Tollcross,1644
359,Causewayside,1624
1822,Edinburgh Park Station,1610
290,Bruntsfield links,1600
341,Warrender Park Road,1590
347,Simon Square,1520
2263,Musselburgh Lidl,1514
344,Marchmont Crescent,1506
273,Shrubhill,1450
866,Comely Bank Road,1346
1770,Ellersly Road,1332
1799,Murrayfield,1332
868,Dundas Street,1316
1864,Borrowman Square,1182
862,Cramond Foreshore,1120
354,South Trinity Road,1112
1809,Royal Edinburgh Hospital,1046
1866,The Loan,1046
1026,Constitution Street,1044
1820,Heriot Watt - Student Accommodation,1030
1868,Forth Bridge Visitors Centre,1006
284,Leith Links,1002
277,"Waitrose, Comely Bank",968
1815,Sighthill - Edinburgh College,930
882,EICC,914
261,Brunswick Place - Virtual,912
885,Wester Coates Terrace,828
876,Murrayfield,796
351,Dalry Road Co-op,782
1865,Dalmeny Station,738
1028,The Tron,708
884,IGMM,692
879,Gladstone Terrace,684
350,Dalry Road Lidl,682
888,Crichton Street,670
870,Hillside Crescent,668
870,Hillside Crescent 2,654
2265,Musselburgh Brunton Hall,638
648,Western General,618
890,West Crosscauseway,598
887,Roseburn Street,584
873,Corstorphine Road,566
889,Murrayfield Tram,504
342,Whitehouse Loan,492
255,Kings Buildings 4,460
865,Craigleith Road,446
343,Thirlestane Road,444
1874,Tesco Ferrymuir,410
877,Murrayfield Avenue,410
1859,Edinburgh Park Central,388
860,Pollock Halls Virtual,382
366,Newhaven Road / Dudley Gardens,350
1877,Port Edgar Marina,278
1871,Scotstoun House,246
869,Hillside Crescent 1,246
874,Edinburgh Zoo,228
880,Logie Green Road,218
1860,Ingliston Park & Ride,214
1041,Milton Road - Edinburgh College,204
266,Victoria Park,192
867,Henderson Row,182
878,Balgreen,170
1723,Heriot Watt - Edinburgh Business School,134
864,Whitehouse Road,124
1033,Queen Margaret University,124
1018,Hunter Square,114
872,St. John's Road 2,112
1094,HSBC UK Lets Ride - Meadows Event,108
863,Gamekeeper's Road,106
871,St. John's Road 1,92
1724,Heriot Watt - Student Accomodation (Anna MacLeod Halls),90
353,Gibson Terrace,90
991,Meadows - Edinburgh Climate Festival,86
1030,Fountain Court  - Apartments (RESIDENTS ONLY),86
883,Queensferry Road,78
1040,Sighthill - Edinburgh College,72
901,Dunbarâ€™s Close Garden,50
1031,Eden Locke - Aparthotel (RESIDENTS ONLY),48
891,West Newington Place,38
297,Royal Infirmary,38
1024,Meadow Place 2,36
875,Corstorphine Road - Pinkhill,36
982,Ingliston Park and Ride (19th to 23rd June),22
1746,Crescent House,18
964,Corn Exchange - walk cycle event,12
980,Royal Highland Show - East Gate (19th to 23rd June),12
365,Novotel,10
965,Sustrans - walk cycle event,8
1056,Fort Kinnaird,6
1057,Pleasance - Edinburgh University Sports Fair,4
1740,Cycling Scotland Conference,2
1857,City Chambers Launch Station,2
2268,Picady Place,2
981,Royal Highland Show - West Gate (19th to 23rd June),2
