assigned cluster,lat,lon
0,55.95294992082901,-3.1173900720725385
1,55.93606748223777,-3.2784254145524474
2,55.948991955607475,-3.2136298993084114
3,55.92658124040115,-3.1757862016361034
4,55.89289422870967,-3.052582039379032
5,55.913605985449735,-3.220842944867725
6,55.97390026111111,-3.1706190657222226
7,55.89291728878788,-3.330839088779221
8,55.9489591040625,-3.23467196028125
9,55.872635398999996,-3.179221524492308
10,55.94119945473684,-3.059812980087719
11,55.8709130425,-3.1155821325
12,55.95808350596708,-3.263766461053498
13,55.91158176461905,-3.160213988252381
14,55.92314325112745,-3.2386306085343137
15,55.952640871826624,-3.147941483486068
16,55.92745363295652,-3.208857882252174
17,55.95350729392157,-3.202047652627451
18,55.975129653269235,-3.3012785339615385
19,55.94892354455882,-3.1024261411470584
20,55.94337157741935,-3.2838991008064515
21,55.92074552462687,-3.2537152660149253
22,55.97428388421569,-3.1839637650294117
23,55.97459851929412,-3.224691504505883
24,55.904940358235294,-3.1380374491176473
25,55.96040185434555,-3.239419023340314
26,55.91309618336957,-3.1010245684347826
27,55.88139779534883,-3.0740190272790695
28,55.93547056589532,-3.1868990516391187
29,55.89858376367647,-3.3069570884362745
30,55.952575426201925,-3.133796026120192
31,55.90628805608695,-3.2069818162086956
32,55.94327689635762,-3.2479409854437087
33,55.933369218385096,-3.1564307700496896
34,55.96835476976852,-3.153323724953704
35,55.90832617592308,-3.2728086372615386
36,55.973142865684935,-3.2017444113972604
37,55.94495667610257,-3.130233191723077
38,55.948639611199994,-3.30882180892
39,55.87810643452055,-3.1500973266027397
40,55.9439962640411,-3.0997537451164385
41,55.958791039642854,-3.171458759357143
42,55.9223377870909,-3.220520957112121
43,55.93370652078067,-3.2046422574312268
44,55.95959908223685,-3.2855412314078944
45,55.86572537615385,-3.099707148100592
46,55.93718386300847,-3.294621067809322
47,55.914776520748035,-3.2112527959960633
48,55.974491112799996,-3.2484179085800005
49,55.91342775616162,-3.1731317123737375
50,55.954054319225804,-3.246054898458065
51,55.934889588000004,-3.087828953466667
52,55.87229294654546,-3.057464715727273
53,55.915285763235296,-3.318594465852941
54,55.946798430679614,-3.081748731592233
55,55.9369296983,-3.1917138004549996
56,55.930717141774196,-3.228632538733871
57,55.939814665930236,-3.2753345166860464
58,55.924051329081635,-3.2011046491734696
59,55.964462540549455,-3.310408558461538
60,55.96444536945783,-3.263371105138554
61,55.92193780142857,-3.2868990013928574
62,55.89716962315068,-3.1427862613835615
63,55.91645056678756,-3.2476679909067356
64,55.97840761398844,-3.1936252488612715
65,55.96285452887006,-3.1911720167062145
66,55.962125463049176,-3.1338296867278688
67,55.950116079999994,-3.1805575720588237
68,55.93157094603239,-3.1755341470931175
69,55.932134398974355,-3.1421771097179487
70,55.95616463148148,-3.2271731095679015
71,55.94708121,-3.1198752534713114
72,55.95841840849265,-3.2521294153455886
73,55.920815312405495,-3.2163250946872854
74,55.9478768744843,-3.2425202946547085
75,55.9093462825098,-3.2632970962509806
76,55.92721324261959,-3.17031073661959
77,55.96715162600997,-3.1606052937955114
78,55.96557603830986,-3.1443012646901405
79,55.93031774911112,-3.2529473036666667
80,55.92874710284314,-3.2636529603039217
81,55.96752219192308,-3.215106723557692
82,55.94642976232456,-3.2926088426798246
83,55.9462062754359,-3.092855638184615
84,55.8940082068421,-3.1616714618421056
85,55.89652176550336,-3.3186911053557044
86,55.95693459674242,-3.2131242801060607
87,55.92192039848485,-3.066849198212121
88,55.87602082770992,-3.1627003489694654
89,55.94184212972973,-3.257037481472973
90,55.9097386377193,-3.2344172319122806
91,55.93144901900497,-3.2131093035671645
92,55.94798512111111,-3.1938207298333334
93,55.95831578754718,-3.152482238616352
94,55.921478373333336,-3.211626151545098
95,55.917343378750004,-3.113079930225
96,55.918932274143835,-3.161950478291096
97,55.96542367808743,-3.2352563440218582
98,55.942813072,-3.3215315607
99,55.94006888878947,-3.208005696294737
100,55.94460573378049,-3.275573644504065
101,55.90443123,-3.2861928885576925
102,55.92171972472222,-3.1503228722361114
103,55.905190143125,-3.1537940795625
104,55.9425558076129,-3.120219286296774
105,55.93653238781818,-3.2879627182868685
106,55.930420136258064,-3.1923523233483873
107,55.97625530543478,-3.189306590269022
108,55.89844142481482,-3.1970065340370373
109,55.92947318891892,-3.1252042195135132
110,55.956121507106914,-3.2912988865345914
111,55.92306210099631,-3.2439292511808118
112,55.90223601,-3.0459659774666665
113,55.93379459422794,-3.1622031154485297
114,55.938256680701755,-3.226523280649123
115,55.916194723960395,-3.2065434939900994
116,55.90751441208333,-3.2487652738194446
117,55.94949876674641,-3.128250404827751
118,55.87112530875,-3.082361632625
119,55.92589391132275,-3.2316106303703704
120,55.97707254837697,-3.2184364894712045
121,55.9088261645946,-3.200196840418919
122,55.91357734739999,-3.08678932794
123,55.885077983113206,-3.0827885988773582
124,55.95309463963816,-3.1122855317828946
125,55.93311078986842,-3.232393408973684
126,55.868494029999994,-3.181821627643678
127,55.94811981311966,-3.1404991497521366
128,55.95411357800995,-3.239355606049751
129,55.95989446875,-3.18175894525
130,55.94593648879195,-3.2288676957382547
131,55.95544686938775,-3.1641568141428573
132,55.97390476708333,-3.238000045694444
133,55.94506053,-3.0468041231666665
134,55.968843696831684,-3.304453799881188
135,55.917053014105264,-3.261717768368421
136,55.914074417226274,-3.167074067083942
137,55.928852335185184,-3.182246734644444
138,55.92753053794872,-3.2821579756025643
139,55.925229196415096,-3.15600043104717
140,55.947921055,-3.2074530228750002
141,55.97231195121019,-3.211045701987261
142,55.95765704049587,-3.1375601606280994
143,55.93290046928571,-3.0686124091428573
144,55.93333241060812,-3.1977356654932434
145,55.89317433527778,-3.0649621112777776
146,55.94059266635803,-3.2789230712222217
147,55.93911763375,-3.096180716228261
148,55.97259314534884,-3.1570019881627904
149,55.968038013061225,-3.1745427239183677
150,55.942719730127386,-3.1155177203566877
151,55.90980822342657,-3.214125863758741
152,55.95135023980159,-3.1072421240238093
153,55.95797752113096,-3.1293678238720237
154,55.96482250023255,-3.2481032484186048
155,55.94267594965686,-3.290190094901961
156,55.876135667999996,-3.3307097866
157,55.97518155284314,-3.2312561655490195
158,55.88382121615385,-3.119192824205128
159,55.95684370786324,-3.1204845257521368
160,55.936589956911,-3.177006658670157
161,55.9194774784375,-3.29888988309375
162,55.923742974782606,-3.3262108579130434
163,55.915378308676466,-3.280865610132353
164,55.96524917483871,-3.201166422419355
165,55.94580854988095,-3.2803118930833333
166,55.86720556384615,-3.132521565
167,55.91662154915493,-3.2188186514460093
168,55.96305371875,-3.315554010527778
169,55.89359670333334,-3.0467433517500004
170,55.941359477058825,-3.199556251764706
171,55.94015981269565,-3.251889914573913
172,55.93723354935484,-3.2148820096048385
173,55.96299408292683,-3.2713786482682927
174,55.95955384317647,-3.2574672359607844
175,55.972132426632655,-3.18950888332653
176,55.926371497518794,-3.2047286581203007
177,55.936029732307695,-3.1830198030430767
178,55.95874771665072,-3.2343305036985646
179,55.93370989110091,-3.2454841393577984
180,55.916929186111105,-3.1341684684444444
181,55.95964319774647,-3.206610543126761
182,55.947297802571434,-3.086738728057143
183,55.955373488750006,-3.218285246220588
184,55.885602425,-3.1894308476999997
185,55.93483931478261,-3.219097575286957
186,55.91732093861842,-3.2430092609276318
187,55.95941217806202,-3.2466073385503873
188,55.9779308717284,-3.206814623123457
189,55.90898494125,-3.1485082183125
190,55.86761148722222,-3.065395268611111
191,55.96689665689189,-3.242103989675676
192,55.866074232,-3.1981320724
193,55.914074297894736,-3.2273771545
194,55.94807932722222,-3.097516502979798
195,55.93468486219697,-3.168168182875
196,55.97715651659459,-3.199332320664865
197,55.937021779475984,-3.282574564048035
198,55.972470279109594,-3.216366409979452
199,55.89884020942584,-3.3123367188133974
200,55.972051181999994,-3.3299742766000002
201,55.925123964,-3.18583259815
202,55.93134720285714,-3.2972266138571427
203,55.975304370270266,-3.165741505918919
204,55.87437725666666,-3.0485351306666666
205,55.942807628913044,-3.1453330660869563
206,55.889771027500004,-3.095806551
207,55.96089855216867,-3.2196431597590363
208,55.954356368206284,-3.2321161738878925
209,55.947246414673366,-3.220131244869347
210,55.932502580384615,-3.130558807576923
211,55.97140540056738,-3.2208850260921986
212,55.93551417047619,-3.2718243549333335
213,55.92237431542106,-3.2070262023631577
214,55.92907706039801,-3.187358823671642
215,55.96829837019231,-3.207484348394231
216,55.946900841620106,-3.238520848273743
217,55.92605736195122,-3.2743105934390244
218,55.968606197647055,-3.2528470972941177
219,55.9464966438938,-3.253637288938053
220,55.894489607240004,-3.3257690707639997
221,55.93547359434483,-3.210952986537931
222,55.948597325420565,-3.2473919847289716
223,55.87116641946237,-3.1845699153978493
224,55.9016104425,-3.1659440013928575
225,55.907056600434785,-3.2288546858985505
226,55.90103692807229,-3.135769163638554
227,55.93276115421686,-3.1813361832931726
228,55.94166149545455,-3.052551380181818
229,55.976772706666665,-3.1794306549444444
230,55.93030536125001,-3.2214186947884613
231,55.877249060746266,-3.0782119878208953
232,55.89336900237114,-3.0590319871958767
233,55.953318021885245,-3.2961635270491803
234,55.939827708807336,-3.270048502513762
235,55.93244134268292,-3.2390210079024393
236,55.94348001645833,-3.185008117166667
237,55.958088586494846,-3.189551726659794
238,55.92200813678363,-3.1667698453684214
239,55.95745469736842,-3.1979568054789476
240,55.95585572648148,-3.28332321337037
241,55.93361234428572,-3.1079760559999996
242,55.90671518907693,-3.219653567584615
243,55.91871503813433,-3.1554866830149253
244,55.94322972060345,-3.1068160322155176
245,55.9349766958371,-3.17228318520362
246,55.96609928066667,-3.1804889048814817
247,55.94697751901961,-3.2862846628137254
248,55.9446664267713,-3.1250488458295966
249,55.90453776197674,-3.2109386479825583
